No,MLSID,StreetNumberNumeric,streetaddress,STREETNAME,PostalCode,StateOrProvince,City,SalesClosePrice,LISTDATE,LISTPRICE,LISTTYPE,OriginalListPrice,FOUNDATIONSIZE,FENCE,MapLetter,LotSizeDimensions,SchoolDistrictNumber,DAYSONMARKET,offmarketdate,Fireplaces,RoomArea4,roomtype,ROOF,RoomFloor4,PotentialShortSale,PoolDescription,PDOM,GarageDescription,SQFTABOVEGROUND,Taxes,RoomFloor1,RoomArea1,TAXWITHASSESSMENTS,TAXYEAR,LivingArea,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,CoolingDescription,APPLIANCES,backonmarketdate,ROOMFAMILYCHAR,RoomArea3,EXTERIOR,RoomFloor3,RoomFloor2,RoomArea2,DiningRoomDescription,BASEMENT,BathsFull,BathsHalf,BATHQUARTER,BATHSTHREEQUARTER,Class,BATHSTOTAL,BATHDESC,RoomArea5,RoomFloor5,RoomArea6,RoomFloor6,RoomArea7,RoomFloor7,RoomArea8,RoomFloor8,Bedrooms,SQFTBELOWGROUND,AssumableMortgage,AssociationFee,ASSESSMENTPENDING,AssessedValuation
1667,RMLS,129,129 Jessamine Ave E,Jessamine,55117,MN,STP - Saint Paul,160000,10/14/2017 0:00,159900,Exclusive Right,169900,495,"Chain Link, Partial",B2,40x139,625 - St. Paul,76,12/29/2017 0:00,0,12x10,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Laundry, Mud Room",Asphalt Shingles,Main,No,"",64,Detached Garage,1217,1504,Main,12x14,4968,2017,1217,"",1900,Residential-Single,(SF) Two Stories,0.128,None,"Range, Exhaust Fan/Hood, Refrigerator","",Main Level,"",Vinyl,"",Main,12x18,Separate/Formal Dining Room,"Partial, Unfinished",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath",15x14,Upper,20x8,Upper,20x8,Upper,"","",3,0,Not Assumable,0,Yes,3464
1668,RMLS,1120,1120 Minnehaha Ave W,Minnehaha,55104,MN,STP - Saint Paul,159900,10/9/2017 0:00,159900,Exclusive Right,159900,748,Chain Link,E3,0,625 - St. Paul,0,10/9/2017 0:00,0,12x11,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Pantry (Walk-In), Master Bath, Pantry (Walk-In), Foyer, Porch, Other",Asphalt Shingles,Main,No,"",0,"Detached Garage, Driveway - Asphalt",1496,2066,Main,12x13,2066,2017,1496,"",1914,Residential-Single,(SF) Two Stories,0,Central,"Refrigerator, Washer, Dryer","","","","Wood, Shakes, Cement Board","",Main,14x12,"Separate/Formal Dining Room, Informal Dining Room, Eat In Kitchen, Breakfast Area, Kitchen/Dining Room","Full, Day/Lookout Windows, Concrete Block",1,0,0,1,SF,2,"Main Floor 3/4 Bath, Upper Level Full Bath",15x11,Upper,11x8,Upper,13x13,Upper,"","",3,0,"",0,Unknown,0
1669,RMLS,1738,1738 Hoyt Ave E,Hoyt,55106,MN,STP - Saint Paul,154000,9/21/2017 0:00,159900,Exclusive Right,159900,960,"",E2,45 x 124,625 - St. Paul,25,10/16/2017 0:00,0,11x10,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Deck",Asphalt Shingles,Main,No,"",25,"Detached Garage, Insulated Garage, Garage Door Opener",1392,2105,Main,18x12,2462,2016,1392,"",1947,Residential-Single,(SF) One 1/2 Stories,0,Central,"Range, Microwave, Exhaust Fan/Hood, Refrigerator, Washer, Dryer","",Lower Level,"","Wood, Stucco, Brick/Stone","",Main,10x09,Eat In Kitchen,"Full, Finished (Livable), Day/Lookout Windows",1,0,0,0,SF,1,Main Floor Full Bath,12x11,Main,12x10,Main,36x12,Upper,"","",3,0,"",0,Yes,357
1670,RMLS,1213,1213 Beech St,Beech,55106,MN,STP - Saint Paul,159900,9/14/2017 0:00,159900,Exclusive Right,159900,674,"Wood, Chain Link, Privacy, Full",D3,40x123,625 - St. Paul,18,10/2/2017 0:00,0,12x13,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Three Season Porch, Pantry (Walk-In), Patio",Asphalt Shingles,Main,No,"",18,"Detached Garage, Driveway - Concrete, Garage Door Opener",1296,1970,Main,13x13,2120,2017,1321,"",1911,Residential-Single,(SF) One 1/2 Stories,0.113,Central,"Range, Refrigerator, Washer, Dryer","","","","Wood, Shakes","",Main,13x13,"Separate/Formal Dining Room, Breakfast Area",Full,1,0,1,0,SF,2,"Upper Level Full Bath , Basement",18x10,Upper,10x11,Upper,10x7,Upper,"","",3,25,"",0,Unknown,150
1671,RMLS,376,376 Jenks Ave,Jenks,55130,MN,STP - Saint Paul,159900,9/14/2017 0:00,159900,Exclusive Right,159900,988,"",C3,42x135,625 - St. Paul,30,10/24/2017 0:00,0,12x10,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch",Asphalt Shingles,Main,No,None,30,Detached Garage,1419,1222,Main,11x11,1280,2017,1419,"",1922,Residential-Single,(SF) One 1/2 Stories,0.13,Window,"Range, Dishwasher, Washer, Dryer","","","",Vinyl,"",Main,13x12,Separate/Formal Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,12x10,Main,10x9,Main,14x10,Upper,12x11,Upper,4,0,"",0,Unknown,58
1672,RMLS,1663,1663 Nevada Ave E,Nevada,55106,MN,STP - Saint Paul,160000,9/8/2017 0:00,159900,Exclusive Right,179900,860,"Chain Link, Full",E2,56x124,625 - St. Paul,56,11/13/2017 0:00,0,15x10,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck",Asphalt Shingles,Main,No,"",12,"Detached Garage, Garage Door Opener",1205,2150,Main,17x12,2572,2017,1205,"",1946,Residential-Single,(SF) One 1/2 Stories,0.159,Central,"Range, Microwave, Refrigerator, Washer, Dryer","","","",Stucco,"","","",Eat In Kitchen,"Full, Unfinished",1,0,0,0,SF,1,Main Floor Full Bath,12x11,Main,12x10,Main,30x10,Upper,"","",3,0,"",0,No,422
1673,RMLS,1147,1147 Virginia St,Virginia,55117,MN,STP - Saint Paul,160000,9/6/2017 0:00,159900,Exclusive Right,169900,806,Other,A2,41x132,625 - St. Paul,19,9/25/2017 0:00,0,"","Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Mud Room","Asphalt Shingles, Age 8 Years or Less","",No,"",12,Detached Garage,1166,1332,Main,12x16,1390,2017,1166,"",1925,Residential-Single,(SF) One 1/2 Stories,0.124,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer","","Main Level, Family Room",14x10,Vinyl,Main,"","",Eat In Kitchen,"Full, Drainage System, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,11x11,Main,10x11,Main,16x12,Upper,"","",3,0,Not Assumable,0,Unknown,58
1674,RMLS,1635,1635 Chamber St,Chamber,55106,MN,STP - Saint Paul,165000,8/31/2017 0:00,159900,Exclusive Right,159900,917,Other,D1,40 X 120,625 - St. Paul,25,9/25/2017 0:00,0,16 x 16,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","",Main,No,"",25,Other,917,2312,Main,15 x 14,2312,2017,1205,"",1900,Residential-Single,(SF) One Story,0,Central,"Range, Refrigerator, Washer, Dryer","","",18 x 16,Shakes,Lower,"","",Eat In Kitchen,Partial,1,0,0,0,SF,1,Main Floor Full Bath,15 x 12,Main,14 x 13,Main,"","","","",2,288,"",0,Unknown,0
1675,RMLS,1544,1544 Beech St,Beech,55106,MN,STP - Saint Paul,160000,8/25/2017 0:00,159900,Exclusive Right,159900,720,Other,E3,40X122,625 - St. Paul,13,9/21/2017 0:00,0,8x14,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Storage Room, Den, Office","Asphalt Shingles, Age Over 8 Years",Main,No,None,13,"Detached Garage, Driveway - Asphalt",864,1926,Main,11x16,1984,2017,1164,"",1952,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range, Microwave, Refrigerator, Washer, Dryer","",Lower Level,14x28,"Metal, Vinyl",Lower,"","","Informal Dining Room, Eat In Kitchen","Full, Finished (Livable)",1,0,0,0,SF,1,Main Floor Full Bath,10x13,Main,9x10,Main,13x29,Upper,"","",3,300,"",0,Unknown,58.2
1676,RMLS,1766,1766 7th St E,7th,55106,MN,STP - Saint Paul,159900,8/16/2017 0:00,159900,Exclusive Right,159900,848,"Chain Link, Partial",A3,40x118,625 - St. Paul,9,8/25/2017 0:00,0,16x11,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,Main,No,"",9,Driveway - Concrete,1058,691,Main,17x11,5486,2017,1058,"",1911,Residential-Single,(SF) One 1/2 Stories,0.108,Central,"Range, Exhaust Fan/Hood, Refrigerator","","","","Metal, Vinyl","","","",Eat In Kitchen,"Partial, Crawl Space, Unfinished",1,0,0,0,SF,1,Main Floor Full Bath,11x10,Main,11x8,Main,15x10,Upper,"","",3,0,"",0,Unknown,4795
